Entity,Code,Year,"Poorest decile - Threshold (Disposable household income, equivalized)","2nd decile - Threshold (Disposable household income, equivalized)","3rd decile - Threshold (Disposable household income, equivalized)","4th decile - Threshold (Disposable household income, equivalized)","5th decile - Threshold (Disposable household income, equivalized)","6th decile - Threshold (Disposable household income, equivalized)","7th decile - Threshold (Disposable household income, equivalized)","8th decile - Threshold (Disposable household income, equivalized)","Richest decile - Threshold (Disposable household income, equivalized)"
United Kingdom,GBR,1968,7089.88,8662.54,9792.29,10893.75,12144.84,13633.28,15365.3,17508.55,20737.17
United Kingdom,GBR,1969,6895.69,8546.14,9836.27,11084.95,12328.88,13751.87,15405.64,17416.48,21041.11
United Kingdom,GBR,1970,6975.79,8718.26,10077.59,11190.85,12512.01,13862.92,15717.05,18013.41,21890.4
United Kingdom,GBR,1971,6699.8,8307.66,9718.57,10921.23,12234.66,13658.33,15423.87,17815.49,21775.23
United Kingdom,GBR,1972,6955.29,8717.21,10202.08,11612.75,12914,14541.56,16411.09,18928.64,23031.01
United Kingdom,GBR,1973,7559.8,9419.17,10890.88,12301.51,13737.61,15414.8,17404.16,20092.62,24311.44
United Kingdom,GBR,1974,7664.44,9314.68,10845.39,12276.19,13809.96,15395.8,17517.56,20045.33,24172.42
United Kingdom,GBR,1975,7557.79,9083.7,10512.42,11953.22,13287.07,14896.31,16814.52,19326.88,23307.94
United Kingdom,GBR,1976,7329.01,8722,9982.02,11254.92,12614.84,14267.65,16096.81,18471.04,22250.61
United Kingdom,GBR,1977,7212.59,8545.86,9808.87,11132.08,12514.77,14054.75,15787.01,18037.17,21685.07
United Kingdom,GBR,1978,7598.32,9009.71,10457.07,11982.48,13557.06,15329.2,17307.59,19838.44,23657.76
United Kingdom,GBR,1979,7690.03,9151.82,10710.38,12253.74,13772.06,15505.08,17801.58,20449.19,24471.06
United Kingdom,GBR,1980,7549.29,9247.49,10934.75,12433.55,14109.12,15821.33,17893.87,20694.4,24997.93
United Kingdom,GBR,1981,7599.28,8987.37,10487.98,12039.83,13575.52,15516.36,17779.1,20704.83,25201.42
United Kingdom,GBR,1982,8364.79,9691.44,11253.27,12992.64,14898.26,16813.94,19241.34,22487.17,28128.11
United Kingdom,GBR,1983,8023.48,9287.84,10793.63,12444.95,14273.08,16093.9,18396.75,21506.97,26903
United Kingdom,GBR,1984,8147.34,9509.66,11147.51,12862.43,14617.33,16655.38,19194.77,22304.71,27016.81
United Kingdom,GBR,1985,8094.45,9374.7,11135.45,12957.08,14951.45,17233.44,19862.67,23280.81,28632.6
United Kingdom,GBR,1986,8322.96,9698.08,11577.04,13555.39,15672.78,18092.15,20707.51,24335.71,30142.18
